Energy_DPMD (eV),x,y,z
-45580.1703,3.2,10.2,9.9
-45580.99532,3.3,9.1,9.0
-45579.92833,5.4,9.0,9.0
-45580.69604,5.6,12.4,9.0
-45580.13618,6.1,11.5,9.4
-45580.30858,6.2,11.9,9.0
-45579.95712,6.3,11.4,9.9
-45579.92176,6.8,9.3,9.0
-45582.89384,7.0,5.0,9.6
-45579.96196,7.6,5.9,10.3
-45581.33522,7.7,5.4,9.4
-45580.02471,8.1,4.8,9.9
-45580.1062,8.3,4.9,9.4
-45580.24107,8.9,8.3,9.4
-45580.25233,9.2,8.1,9.4
-45580.43009,3.2,10.0,9.6
-45579.963,5.7,11.5,9.6
-45580.08383,6.7,8.7,9.6
-45579.9485,7.1,6.3,10.5
-45581.46166,7.4,5.7,9.6
-45580.22314,8.1,5.4,9.6
-45580.00916,9.1,10.6,9.6
-45579.94048,3.2,6.8,10.1
-45580.06707,5.4,8.4,9.2
-45583.81199,5.6,5.0,9.2
-45583.15092,6.0,5.2,9.7
-45580.20067,6.1,8.7,9.2
-45583.87335,6.2,5.3,9.2
-45580.17353,6.3,8.6,9.7
-45580.73709,8.9,8.9,8.8
-45580.75366,3.3,8.5,9.2
-45580.95329,4.5,5.2,9.2
-45580.44042,5.7,6.3,10.1
-45581.00925,6.3,6.0,10.1
-45580.08291,8.8,10.4,9.7
-45580.69571,9.2,9.5,8.8
-45580.30616,3.6,10.1,9.7
-45580.58543,3.7,9.2,8.8
-45579.95004,4.9,12.5,8.8
-45580.03839,6.4,9.0,8.8
-45580.25411,6.4,11.6,9.2
-45580.6971,6.6,12.4,8.8
-45580.0655,7.2,6.4,10.1
-45582.9835,7.3,4.9,9.2
-45580.56117,7.8,5.6,9.7
